輸入檔案,偵測結果,,
Alat000.jpg,NA,Alat,#VALUE!
Alat001.jpg,NA,Alat,#VALUE!
Alat002.jpg,NA,Alat,#VALUE!
Alat003.jpg,NA,Alat,#VALUE!
Alat004.jpg,NA,Alat,#VALUE!
Alat005.jpg,NA,Alat,#VALUE!
Alat006.jpg,NA,Alat,#VALUE!
Alat007.jpg,NA,Alat,#VALUE!
Alat008.jpg,NA,Alat,#VALUE!
Alat009.jpg,NA,Alat,#VALUE!
Alat010.jpg,NA,Alat,#VALUE!
Alat011.jpg,NA,Alat,#VALUE!
Alat012.jpg,NA,Alat,#VALUE!
Alat013.jpg,NA,Alat,#VALUE!
Alat014.jpg,NA,Alat,#VALUE!
Alat015.jpg,NA,Alat,#VALUE!
Alat016.jpg,NA,Alat,#VALUE!
Alat017.jpg,NA,Alat,#VALUE!
Alat018.jpg,NA,Alat,#VALUE!
Alat019.jpg,NA,Alat,#VALUE!
Alat020.jpg,NA,Alat,#VALUE!
Alat021.jpg,NA,Alat,#VALUE!
Alat022.jpg,Alat: 0.5957,Alat,1
Alat023.jpg,Alat: 0.5652,Alat,1
Alat024.jpg,NA,Alat,#VALUE!
Alat025.jpg,NA,Alat,#VALUE!
Alat026.jpg,NA,Alat,#VALUE!
Alat027.jpg,NA,Alat,#VALUE!
Alat028.jpg,NA,Alat,#VALUE!
Alat029.jpg,Alat: 0.7818,Alat,1
Alat030.jpg,Alat: 0.6521,Alat,1
Alat031.jpg,Alat: 0.6807,Alat,1
Alat032.jpg,Alat: 0.8291,Alat,1
Alat033.jpg,NA,Alat,#VALUE!
Alat034.jpg,NA,Alat,#VALUE!
Alat035.jpg,NA,Alat,#VALUE!
Alat036.jpg,NA,Alat,#VALUE!
Alat037.jpg,NA,Alat,#VALUE!
Alat038.jpg,NA,Alat,#VALUE!
Alat039.jpg,NA,Alat,#VALUE!
Alat040.jpg,NA,Alat,#VALUE!
Alat041.jpg,NA,Alat,#VALUE!
Alat042.jpg,Alat: 0.5701,Alat,1
Alat043.jpg,NA,Alat,#VALUE!
Alat044.jpg,Alat: 0.8252,Alat,1
Ceproin000.jpg,Propranolol: 0.6782,Cerproin,#VALUE!
Ceproin001.jpg,NA,Ceproin,#VALUE!
Ceproin002.jpg,Cerproin: 0.6670,Cerproin,1
Ceproin003.jpg,Cerproin: 0.9226,Cerproin,1
Ceproin004.jpg,Cerproin: 0.6965,Cerproin,1
Ceproin005.jpg,Cerproin: 0.9707,Cerproin,1
Ceproin006.jpg,Cerproin: 0.8371,Cerproin,1
Ceproin007.jpg,Cerproin: 0.6982,Cerproin,1
Ceproin008.jpg,Cerproin: 0.6725,Cerproin,1
Ceproin009.jpg,Cerproin: 0.9344,Cerproin,1
Ceproin010.jpg,NA,Ceproin,#VALUE!
Ceproin011.jpg,Cerproin: 0.9337,Cerproin,1
Ceproin012.jpg,Cerproin: 0.6044,Cerproin,1
Ceproin013.jpg,NA,Ceproin,#VALUE!
Ceproin014.jpg,Cerproin: 0.9695,Cerproin,1
Ceproin015.jpg,Cerproin: 0.9562,Cerproin,1
Ceproin016.jpg,Propranolol: 0.5155,Cerproin,#VALUE!
Ceproin017.jpg,Cerproin: 0.6028,Cerproin,1
Ceproin018.jpg,NA,Ceproin,#VALUE!
Ceproin019.jpg,NA,Ceproin,#VALUE!
Ceproin020.jpg,NA,Ceproin,#VALUE!
Ceproin021.jpg,Propranolol: 0.6908,Cerproin,#VALUE!
Ceproin022.jpg,NA,Ceproin,#VALUE!
Ceproin023.jpg,Cerproin: 0.6296,Cerproin,1
Ceproin024.jpg,Cerproin: 0.8890,Cerproin,1
Ceproin025.jpg,Cerproin: 0.7083,Cerproin,1
Ceproin026.jpg,Cerproin: 0.8128,Cerproin,1
Ceproin027.jpg,Cerproin: 0.9243,Cerproin,1
Ceproin028.jpg,NA,Ceproin,#VALUE!
Ceproin029.jpg,NA,Ceproin,#VALUE!
Ceproin030.jpg,NA,Ceproin,#VALUE!
Ceproin031.jpg,Cerproin: 0.7158,Cerproin,1
Ceproin032.jpg,Propranolol: 0.7886,Cerproin,#VALUE!
Ceproin033.jpg,Cerproin: 0.9449,Cerproin,1
Ceproin034.jpg,Cerproin: 0.9482,Cerproin,1
Ceproin035.jpg,Cerproin: 0.9657,Cerproin,1
Ceproin036.jpg,Cerproin: 0.9665,Cerproin,1
Ceproin037.jpg,Cerproin: 0.5710,Cerproin,1
Ceproin038.jpg,Cerproin: 0.6492,Cerproin,1
Ceproin039.jpg,Cerproin: 0.8919,Cerproin,1
Ceproin040.jpg,Cerproin: 0.8237,Cerproin,1
Ceproin041.jpg,Cerproin: 0.8620,Cerproin,1
Ceproin042.jpg,NA,Ceproin,#VALUE!
Ceproin043.jpg,Propranolol: 0.7379,Cerproin,#VALUE!
Ceproin044.jpg,Cerproin: 0.7693,Cerproin,1
Ceproin045.jpg,Cerproin: 0.6898,Cerproin,1
Ceproin046.jpg,Cerproin: 0.5674,Cerproin,1
Ceproin047.jpg,NA,Ceproin,#VALUE!
Ceproin048.jpg,Cerproin: 0.9016,Cerproin,1
Ceproin049.jpg,Cerproin: 0.7500,Cerproin,1
Ceproin050.jpg,Cerproin: 0.9547,Cerproin,1
Ceproin051.jpg,Cerproin: 0.9845,Cerproin,1
Ceproin052.jpg,Cerproin: 0.9159,Cerproin,1
Ceproin053.jpg,Cerproin: 0.9344,Cerproin,1
Ceproin054.jpg,Cerproin: 0.5526,Cerproin,1
Ceproin055.jpg,NA,Ceproin,#VALUE!
Ceproin056.jpg,NA,Ceproin,#VALUE!
Ceproin057.jpg,NA,Ceproin,#VALUE!
Ceproin058.jpg,NA,Ceproin,#VALUE!
Ceproin059.jpg,Cerproin: 0.8041,Cerproin,1
Ceproin060.jpg,Cerproin: 0.8903,Cerproin,1
Ceproin061.jpg,Cerproin: 0.9527,Cerproin,1
Ceproin062.jpg,Cerproin: 0.9407,Cerproin,1
Ceproin063.jpg,Cerproin: 0.5251,Cerproin,1
Ceproin064.jpg,Cerproin: 0.5712,Cerproin,1
Ceproin065.jpg,NA,Ceproin,#VALUE!
Ceproin066.jpg,Cerproin: 0.6770,Cerproin,1
Ceproin067.jpg,Cerproin: 0.6183,Cerproin,1
Ceproin068.jpg,NA,Ceproin,#VALUE!
Ceproin069.jpg,NA,Ceproin,#VALUE!
Ceproin070.jpg,Cerproin: 0.8032,Cerproin,1
Ceproin071.jpg,Cerproin: 0.5266,Cerproin,1
Ceproin072.jpg,Cerproin: 0.9773,Cerproin,1
Ceproin073.jpg,Cerproin: 0.9492,Cerproin,1
